                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.95592,                  1.942,                0.93917,                 1.0722,                0.93622,                    0.8,                0.86643,                0.69541,                0.93622,                    0.8,                0.86643,                0.38583,                0.90644,                 2.5697,                 1.3075,                  1.013,             0.00068921,             0.00068921,             0.00068921
                     55,                 1.0822,                 2.1493,                 1.1896,                 1.2104,                0.93622,                    0.8,                0.86643,                0.69541,                0.93622,                    0.8,                0.86643,                0.38583,                0.90644,                 2.5697,                 1.3075,                  1.013,             0.00069509,             0.00069509,             0.00069509
                     56,                0.91441,                 2.1058,                0.96608,                 1.0433,                0.93622,                    0.8,                0.86643,                0.69541,                0.93622,                    0.8,                0.86643,                0.38583,                0.90644,                 2.5697,                 1.3075,                  1.013,              0.0007007,              0.0007007,              0.0007007
                     57,                0.85751,                 1.9749,                  1.027,                 1.0456,                0.97681,                    0.8,                  0.895,                0.69547,                0.97681,                    0.8,                  0.895,                0.43788,                0.91919,                 2.5074,                 1.2973,                 1.0159,             0.00070605,             0.00070605,             0.00070605
                     58,                0.82983,                  2.314,                0.92452,                 1.0247,                0.97681,                    0.8,                  0.895,                0.69547,                0.97681,                    0.8,                  0.895,                0.43788,                0.91919,                 2.5074,                 1.2973,                 1.0159,             0.00071113,             0.00071113,             0.00071113
                     59,                 1.0909,                 2.1251,                 1.0152,                 1.0973,                0.97681,                    0.8,                  0.895,                0.69547,                0.97681,                    0.8,                  0.895,                0.43788,                0.91919,                 2.5074,                 1.2973,                 1.0159,             0.00071595,             0.00071595,             0.00071595
                     60,                0.94295,                 2.1054,                 1.0532,                 1.0519,                      1,                0.77966,                0.87192,                0.67494,                      1,                0.77966,                0.87192,                0.44265,                0.88489,                 2.3585,                 1.3955,                0.96154,             0.00072051,             0.00072051,             0.00072051
                     61,                0.81608,                 1.9903,                0.88747,                   1.02,                      1,                0.77966,                0.87192,                0.67494,                      1,                0.77966,                0.87192,                0.44265,                0.88489,                 2.3585,                 1.3955,                0.96154,              0.0007248,              0.0007248,              0.0007248
                     62,                0.85812,                 2.0304,                0.94724,                 1.0843,                      1,                0.77966,                0.87192,                0.67494,                      1,                0.77966,                0.87192,                0.44265,                0.88489,                 2.3585,                 1.3955,                0.96154,             0.00072883,             0.00072883,             0.00072883
                     63,                0.91987,                 1.9245,                0.97112,                 1.0429,                0.99348,                    0.8,                0.88591,                0.62841,                0.99348,                    0.8,                0.88591,                0.52306,                 1.0042,                 2.1423,                 1.4267,                 1.0532,             0.00073259,             0.00073259,             0.00073259
                     64,                 0.9875,                 1.9383,                0.99044,                 1.0758,                0.99348,                    0.8,                0.88591,                0.62841,                0.99348,                    0.8,                0.88591,                0.52306,                 1.0042,                 2.1423,                 1.4267,                 1.0532,             0.00073609,             0.00073609,             0.00073609
                     65,                0.89543,                 1.9465,                 1.0193,                 1.0256,                0.99348,                    0.8,                0.88591,                0.62841,                0.99348,                    0.8,                0.88591,                0.52306,                 1.0042,                 2.1423,                 1.4267,                 1.0532,             0.00073933,             0.00073933,             0.00073933
                     66,                0.91066,                  2.344,                 1.0111,                 1.0614,                0.96586,                    0.8,                0.88591,                0.66783,                0.96586,                    0.8,                0.88591,                0.57621,                 1.1447,                 2.0324,                 1.4835,                 1.1471,              0.0007423,              0.0007423,              0.0007423
                     67,                0.86272,                  1.791,                0.93271,                 1.0825,                0.96586,                    0.8,                0.88591,                0.66783,                0.96586,                    0.8,                0.88591,                0.57621,                 1.1447,                 2.0324,                 1.4835,                 1.1471,             0.00074501,             0.00074501,             0.00074501
